	entities	intent	text	clean_text	bow	len
268	[]	sleep	I just cant go to sleep	['go', 'sleep']	[(11, 1), (359, 1)]	2
269	[]	sleep	I only stay asleep for 2 hours	['stay', 'asleep', '_num_', 'hour']	[(27, 1), (362, 1), (373, 1), (443, 1)]	4
270	[]	sleep	My body wanted to go back to sleep, but, everytime I fell sleep the tremors woke me up	['body', 'want', 'go', 'back', 'sleep', 'everytime', 'fall', 'sleep', 'tremor', 'wake']	[(11, 1), (38, 1), (59, 1), (180, 1), (358, 1), (359, 2), (376, 1), (394, 1), (424, 1)]	10
271	[]	sleep	I think a Z-drug might help to get me some sleep	['think', 'z', 'drug', 'may', 'help', 'get', 'sleep']	[(51, 1), (65, 1), (69, 1), (187, 1), (303, 1), (359, 1), (460, 1)]	7
272	[]	sleep	as a child of 6 it already took me several hours to fall asleep	['child', '_num_', 'already', 'take', 'several', 'hour', 'fall', 'asleep']	[(27, 1), (108, 1), (362, 1), (373, 1), (376, 1), (461, 1), (462, 1), (463, 1)]	8
273	[]	sleep	I wake up panicking	['wake', 'panic']	[(394, 1), (464, 1)]	2
274	[]	sleep	if I wake up and then just close my eyes	['wake', 'close', 'eye']	[(394, 1), (465, 1), (466, 1)]	3
275	[]	sleep	I work nights	['work', 'night']	[(22, 1), (24, 1)]	2
276	[]	sleep	I get lots and lots of dreams	['get', 'lot', 'lot', 'dream']	[(51, 1), (158, 2), (375, 1)]	4
277	[]	sleep	I intend to sleep till 8 AM, but I wake up automatically at 5-6 AM	['intend', 'sleep', 'till', '_num_', 'wake', 'automatically', '_num_', '_num_']	[(27, 3), (359, 1), (394, 1), (467, 1), (468, 1), (469, 1)]	8
278	[]	sleep	my sleep pattern was permanently shot in my mid-20s	['sleep', 'pattern', 'permanently', 'shoot', 'mid_num_s']	[(313, 1), (359, 1), (470, 1), (471, 1), (472, 1)]	5
279	[]	sleep	I'm not sure if this is just another symptom of: insomnia, sleep paralysis, or hypnogognic jerk	['sure', 'another', 'symptom', 'insomnia', 'sleep', 'paralysis', 'hypnogognic', 'jerk']	[(359, 1), (369, 1), (379, 1), (457, 1), (473, 1), (474, 1), (475, 1), (476, 1)]	8
280	[]	sleep	I am always awake until late at night	['always', 'awake', 'late', 'night']	[(22, 1), (227, 1), (370, 1), (438, 1)]	4
281	[]	sleep	I've been going thru insomnia	['go', 'thru', 'insomnia']	[(11, 1), (379, 1), (477, 1)]	3
282	[]	sleep	It started with one bad nights sleep nearly two weeks ago	['start', 'one', 'bad', 'night', 'sleep', 'nearly', 'two', 'week', 'ago']	[(4, 1), (22, 1), (56, 1), (91, 1), (106, 1), (134, 1), (200, 1), (262, 1), (359, 1)]	9
283	[]	sleep	I was on sleep aids during college for a short period	['sleep', 'aid', 'college', 'short', 'period']	[(359, 1), (478, 1), (479, 1), (480, 1), (481, 1)]	5
284	[]	sleep	it's about my inability to catch up on lost sleep	['inability', 'catch', 'lose', 'sleep']	[(42, 1), (359, 1), (482, 1), (483, 1)]	4
285	[]	sleep	I had some terrible sleeping habits in the last month	['terrible', 'sleep', 'habit', 'last', 'month']	[(12, 1), (101, 1), (163, 1), (359, 1), (484, 1)]	5
286	[]	sleep	I havent been on sleep aids	['sleep', 'aid']	[(359, 1), (478, 1)]	2
287	[]	sleep	I don’t wake up too early	['wake', 'early']	[(285, 1), (394, 1)]	2
288	[]	sleep	sometimes my sleep would be sporadic	['sometimes', 'sleep', 'would', 'sporadic']	[(119, 1), (136, 1), (359, 1), (485, 1)]	4
289	[]	sleep	"As I start to fall sleep again, I feel these ""rumbleling"" (tremors) around my upper body"	['start', 'fall', 'sleep', 'feel', 'rumbleling', 'tremor', 'around', 'upper', 'body']	[(56, 1), (104, 1), (111, 1), (358, 1), (359, 1), (376, 1), (424, 1), (486, 1), (487, 1)]	9
290	[]	sleep	I started waking up in the morning with completely numb hands	['start', 'wake', 'morning', 'completely', 'numb', 'hand']	[(52, 1), (56, 1), (348, 1), (374, 1), (394, 1), (488, 1)]	6
291	[{'start': 3, 'end': 12, 'value': '6-7 hours', 'entity': 'duration'}]	sleep	My 6-7 hours aren't enough for me to feel good	['_num_', '_num_', 'hour', 'enough', 'feel', 'good']	[(27, 2), (61, 1), (104, 1), (362, 1), (489, 1)]	6
292	[]	sleep	I would wake about 4 hours after falling asleep	['would', 'wake', '_num_', 'hour', 'fall', 'asleep']	[(27, 1), (119, 1), (362, 1), (373, 1), (376, 1), (394, 1)]	6
293	[]	sleep	As soon as I'm about to fall asleep, I hear my own snoring	['soon', 'fall', 'asleep', 'hear', 'snore']	[(373, 1), (376, 1), (490, 1), (491, 1), (492, 1)]	5
294	[]	sleep	I initially fell asleep and woke up about an hour later in a panic	['initially', 'fall', 'asleep', 'wake', 'hour', 'late', 'panic']	[(362, 1), (370, 1), (373, 1), (376, 1), (394, 1), (464, 1), (493, 1)]	7
295	[]	sleep	I would wake up around 2 or 3am, unable to fall back asleep	['would', 'wake', 'around', '_num_', '_num_', 'unable', 'fall', 'back', 'asleep']	[(27, 2), (38, 1), (111, 1), (119, 1), (373, 1), (376, 1), (394, 1), (494, 1)]	9
296	[]	sleep	I feel very tired and most importantly drowsy	['feel', 'tire', 'much', 'importantly', 'drowsy']	[(34, 1), (104, 1), (385, 1), (495, 1), (496, 1)]	5
297	[{'start': 39, 'end': 44, 'value': '2 hrs', 'entity': 'duration'}]	sleep	So i go to work or school with at most 2 hrs of sleep	['go', 'work', 'school', 'much', '_num_', 'hr', 'sleep']	[(11, 1), (24, 1), (27, 1), (34, 1), (306, 1), (334, 1), (359, 1)]	7
298	[]	sleep	The first two nights I simply could not go back to sleep at all	['_num_', 'two', 'night', 'simply', 'go', 'back', 'sleep']	[(11, 1), (22, 1), (27, 1), (38, 1), (106, 1), (359, 1), (459, 1)]	7
299	[]	sleep	I still feel very sleepy and tired	['still', 'feel', 'sleepy', 'tire']	[(104, 1), (385, 1), (390, 1), (497, 1)]	4
300	[]	sleep	I wake up anywhere between 2am-4am	['wake', 'anywhere', '_num_am_num_am']	[(249, 1), (394, 1), (498, 1)]	3
301	[]	sleep	During this time my sleep schedule was completely off	['time', 'sleep', 'schedule', 'completely']	[(92, 1), (246, 1), (359, 1), (374, 1)]	4
302	[]	sleep	I know sleep patterns can begin to change around this age	['know', 'sleep', 'pattern', 'begin', 'change', 'around', 'age']	[(31, 1), (111, 1), (121, 1), (277, 1), (359, 1), (428, 1), (471, 1)]	7
303	[]	sleep	I’m going to try not watching tv before bed	['go', 'try', 'watch', 'tv', 'bed']	[(11, 1), (26, 1), (98, 1), (367, 1), (499, 1)]	5
304	[]	sleep	I’ll shut my eyes	['shut', 'eye']	[(466, 1), (500, 1)]	2
305	[]	sleep	This week I am falling asleep rather easily	['week', 'fall', 'asleep', 'rather', 'easily']	[(4, 1), (151, 1), (373, 1), (376, 1), (501, 1)]	5
306	[]	sleep	I wouldnt go to sleep until like 5, 6 or 8am	['would', 'go', 'sleep', 'like', '_num_', '_num_', '_num_']	[(11, 1), (27, 3), (119, 1), (359, 1), (364, 1)]	7
307	[]	sleep	There were times where it was sparatic type sleep	['time', 'sparatic', 'type', 'sleep']	[(92, 1), (359, 1), (502, 1), (503, 1)]	4
308	[]	sleep	I can finally sleep normally	['finally', 'sleep', 'normally']	[(44, 1), (359, 1), (504, 1)]	3
309	[]	sleep	I used to sleep more after a bad night	['use', 'sleep', 'much', 'bad', 'night']	[(22, 1), (34, 1), (82, 1), (134, 1), (359, 1)]	5
310	[]	sleep	for a week it seems that I've been getting a good sleep every 2 nights	['week', 'seem', 'get', 'good', 'sleep', 'every', '_num_', 'night']	[(4, 1), (20, 1), (22, 1), (27, 1), (51, 1), (61, 1), (135, 1), (359, 1)]	8
311	[]	sleep	But the important thing is that I slept	['important', 'thing', 'sleep']	[(359, 1), (505, 1), (506, 1)]	3
312	[]	sleep	So for the past 2 weeks I've been having a variety of things happen to me while I try to sleep	['past', '_num_', 'week', 'variety', 'thing', 'happen', 'try', 'sleep']	[(4, 1), (26, 1), (27, 1), (30, 1), (359, 1), (506, 1), (507, 1), (508, 1)]	8
313	[]	sleep	my sleep does not feel restful at all	['sleep', 'doe', 'feel', 'restful']	[(104, 1), (359, 1), (509, 1), (510, 1)]	4
314	[]	sleep	I get worried about the nighttime	['get', 'worry', 'nighttime']	[(51, 1), (66, 1), (511, 1)]	3
315	[]	sleep	my sleeping pattern was back on	['sleep', 'pattern', 'back']	[(38, 1), (359, 1), (471, 1)]	3
316	[]	sleep	I was giving depressed meds to sleep	['give', 'depress', 'meds', 'sleep']	[(218, 1), (244, 1), (359, 1), (512, 1)]	4
317	[{'start': 0, 'end': 9, 'value': 'melatonin', 'entity': 'drug'}]	treatment	melatonin doesn't do much for me	['melatonin', 'much']	[(34, 1), (442, 1)]	2
318	[]	sleep	I wake me up and have difficulty going  back to sleep	['wake', 'difficulty', 'go', 'back', 'sleep']	[(11, 1), (38, 1), (359, 1), (394, 1), (513, 1)]	5
319	[]	sleep	every day I have to take naps	['every', 'day', 'take', 'nap']	[(1, 1), (20, 1), (108, 1), (514, 1)]	4
320	[]	sleep	I immediately wake up again	['immediately', 'wake']	[(394, 1), (515, 1)]	2
321	[]	sleep	I wake up hourly and it's extremely annoying and exhausting	['wake', 'hourly', 'extremely', 'annoy', 'exhaust']	[(361, 1), (394, 1), (516, 1), (517, 1), (518, 1)]	5
322	[]	sleep	now I'm not sleeping for one second during the night	['sleep', 'one', '_num_', 'night']	[(22, 1), (27, 1), (91, 1), (359, 1)]	4
323	[]	sleep	yesterday I was very sleep deprived	['yesterday', 'sleep', 'deprive']	[(283, 1), (359, 1), (519, 1)]	3
324	[{'start': 45, 'end': 56, 'value': 'hypersomnia', 'entity': 'pathology_symptom'}]	pathology	I have been dealing with horrible idiopathic hypersomnia for 30+ years	['deal', 'horrible', 'idiopathic', 'hypersomnia', '_num_', 'year']	[(14, 1), (27, 1), (520, 1), (521, 1), (522, 1), (523, 1)]	6
325	[]	sleep	So this routine is really not the best thing in the world for me	['routine', 'really', 'well', 'thing', 'world']	[(191, 1), (399, 1), (506, 1), (524, 1), (525, 1)]	5
326	[]	sleep	My sleep has been messed up	['sleep', 'mess']	[(359, 1), (526, 1)]	2
327	[]	sleep	I'm a very light sleeper	['light', 'sleeper']	[(336, 1), (426, 1)]	2
328	[]	sleep	I'm still waking up early	['still', 'wake', 'early']	[(285, 1), (394, 1), (497, 1)]	3
329	[{'start': 64, 'end': 68, 'value': '5 AM', 'entity': 'time'}]	sleep	Currently, in the morning, most of the times, I wake up at some 5 AM or 6 AM	['currently', 'morning', 'much', 'time', 'wake', '_num_', '_num_']	[(27, 2), (34, 1), (52, 1), (92, 1), (394, 1), (527, 1)]	7
330	[]	sleep	I blame this constantly insufficient sleep of mine	['blame', 'constantly', 'insufficient', 'sleep', 'mine']	[(178, 1), (231, 1), (359, 1), (528, 1), (529, 1)]	5
331	[]	sleep	I would usually go right back to sleep	['would', 'usually', 'go', 'right', 'back', 'sleep']	[(11, 1), (38, 1), (119, 1), (148, 1), (359, 1), (431, 1)]	6
332	[]	sleep	I still waking up too early	['still', 'wake', 'early']	[(285, 1), (394, 1), (497, 1)]	3
333	[]	sleep	I thought the insomnia would go away	['think', 'insomnia', 'would', 'go', 'away']	[(11, 1), (65, 1), (119, 1), (379, 1), (430, 1)]	5
334	[]	sleep	By the time late april came, I was sleeping better	['time', 'late', 'april', 'come', 'sleep', 'well']	[(74, 1), (92, 1), (359, 1), (370, 1), (399, 1), (530, 1)]	6
335	[]	sleep	when I'm not in work I've got 19 hours to try to stay awake	['work', 'get', '_num_', 'hour', 'try', 'stay', 'awake']	[(24, 1), (26, 1), (27, 1), (51, 1), (362, 1), (438, 1), (443, 1)]	7
336	[]	sleep	In the middle of the day, I always have to take a nap	['middle', 'day', 'always', 'take', 'nap']	[(1, 1), (108, 1), (227, 1), (429, 1), (514, 1)]	5
337	[]	sleep	I will only get four hours of good quality sleep	['get', 'four', 'hour', 'good', 'quality', 'sleep']	[(21, 1), (51, 1), (61, 1), (359, 1), (362, 1), (531, 1)]	6
338	[]	sleep	I always seem to be very tired if I lie down somewhere	['always', 'seem', 'tire', 'lie', 'somewhere']	[(135, 1), (227, 1), (385, 1), (392, 1), (532, 1)]	5
339	[]	sleep	This happens almost every night	['happen', 'almost', 'every', 'night']	[(20, 1), (22, 1), (94, 1), (507, 1)]	4
340	[{'start': 35, 'end': 45, 'value': '6:30 hours', 'entity': 'duration'}]	sleep	I slept yesterday night for around 6:30 hours	['sleep', 'yesterday', 'night', 'around', '_num_', 'hour']	[(22, 1), (27, 1), (111, 1), (283, 1), (359, 1), (362, 1)]	6
341	[]	sleep	I have to take 2 naps a day and not drive anywhere	['take', '_num_', 'nap', 'day', 'drive', 'anywhere']	[(1, 1), (27, 1), (108, 1), (249, 1), (514, 1), (533, 1)]	6
342	[]	sleep	I also start the day feeling really tired	['also', 'start', 'day', 'feel', 'really', 'tire']	[(1, 1), (56, 1), (104, 1), (191, 1), (385, 1), (389, 1)]	6
343	[]	sleep	I stay 2-3 days awake sometimes	['stay', '_num_', '_num_', 'day', 'awake', 'sometimes']	[(1, 1), (27, 2), (136, 1), (438, 1), (443, 1)]	6
344	[]	sleep	I’ve been having hallucinations, and these occur when I don’t go to sleep at night	['hallucination', 'occur', 'go', 'sleep', 'night']	[(11, 1), (22, 1), (359, 1), (534, 1), (535, 1)]	5
345	[]	sleep	I keep a good sleep hygiene	['keep', 'good', 'sleep', 'hygiene']	[(61, 1), (169, 1), (359, 1), (536, 1)]	4
346	[]	sleep	I wake up at least 2 times a night	['wake', 'little', '_num_', 'time', 'night']	[(3, 1), (22, 1), (27, 1), (92, 1), (394, 1)]	5
347	[]	sleep	my eyes sometimes paining	['eye', 'sometimes', 'pain']	[(136, 1), (466, 1), (537, 1)]	3
348	[]	sleep	I never got back to normal sleeping for the remaining 40-odd years	['never', 'get', 'back', 'normal', 'sleep', 'remain', '_num_odd', 'year']	[(14, 1), (38, 1), (51, 1), (164, 1), (359, 1), (406, 1), (538, 1), (539, 1)]	8
349	[]	sleep	I've had broken sleep for over 6 months	['break', 'sleep', '_num_', 'month']	[(12, 1), (27, 1), (359, 1), (540, 1)]	4
350	[]	sleep	I am aware of the repercussions of not getting enough sleep	['aware', 'repercussion', 'get', 'enough', 'sleep']	[(51, 1), (359, 1), (489, 1), (541, 1), (542, 1)]	5
351	[]	sleep	i want to be able to have a normal sleep schedule	['want', 'able', 'normal', 'sleep', 'schedule']	[(59, 1), (164, 1), (246, 1), (359, 1), (441, 1)]	5
352	[]	sleep	I notice when I sleep during the night I constantly have dreams of spirits	['notice', 'sleep', 'night', 'constantly', 'dream', 'spirit']	[(22, 1), (231, 1), (234, 1), (359, 1), (375, 1), (543, 1)]	6
353	[]	sleep	I would sometimes do naps during the day to help me catch up on sleep	['would', 'sometimes', 'nap', 'day', 'help', 'catch', 'sleep']	[(1, 1), (69, 1), (119, 1), (136, 1), (359, 1), (482, 1), (514, 1)]	7
354	[]	sleep	Every time I fall asleep I will either go into a short state of sleep paralysis	['every', 'time', 'fall', 'asleep', 'either', 'go', 'short', 'state', 'sleep', 'paralysis']	[(11, 1), (20, 1), (75, 1), (92, 1), (359, 1), (373, 1), (376, 1), (457, 1), (481, 1), (544, 1)]	10
355	[]	sleep	I keep a sleep journal	['keep', 'sleep', 'journal']	[(169, 1), (359, 1), (545, 1)]	3
356	[]	sleep	As for my sleeping habits, I could never sleep at night	['sleep', 'habit', 'never', 'sleep', 'night']	[(22, 1), (163, 1), (359, 2), (406, 1)]	5
357	[]	sleep	The last 3 months I have woken up feeling like I am suffocating	['last', '_num_', 'month', 'wake', 'feel', 'like', 'suffocate']	[(12, 1), (27, 1), (101, 1), (104, 1), (364, 1), (394, 1), (546, 1)]	7
358	[]	sleep	I started to feel very dizzy around that time after I ate	['start', 'feel', 'dizzy', 'around', 'time', 'eat']	[(56, 1), (92, 1), (96, 1), (104, 1), (111, 1), (547, 1)]	6
359	[]	sleep	And I am tired all the time, the only solution I find is, to sleep	['tire', 'time', 'solution', 'find', 'sleep']	[(92, 1), (359, 1), (385, 1), (548, 1), (549, 1)]	5
360	[{'start': 30, 'end': 52, 'value': 'Idiopathic Hypersomnia', 'entity': 'pathology_symptom'}]	pathology	I was recently diagnosed with Idiopathic Hypersomnia	['recently', 'diagnose', 'idiopathic', 'hypersomnia']	[(55, 1), (207, 1), (522, 1), (523, 1)]	4
361	[]	sleep	I was awake for two days in a row	['awake', 'two', 'day', 'row']	[(1, 1), (106, 1), (438, 1), (550, 1)]	4
362	[]	sleep	I do experience a lot of sleeping issues	['experience', 'lot', 'sleep', 'issue']	[(57, 1), (158, 1), (232, 1), (359, 1)]	4
363	[]	sleep	I don't know why I can't sleep through the night any more	['know', 'sleep', 'night', 'much']	[(22, 1), (31, 1), (34, 1), (359, 1)]	4
364	[]	sleep	in the morning when I wake too soon	['morning', 'wake', 'soon']	[(52, 1), (394, 1), (492, 1)]	3
365	[]	sleep	recently, my sleep pattern has turned really weird	['recently', 'sleep', 'pattern', 'turn', 'really', 'weird']	[(55, 1), (191, 1), (359, 1), (471, 1), (551, 1), (552, 1)]	6
366	[]	sleep	I've been suffering from sleep issues for about a week	['suffer', 'sleep', 'issue', 'week']	[(4, 1), (57, 1), (222, 1), (359, 1)]	4
367	[]	sleep	this week it's back to me having no amount of sleep or having a short window of sleep	['week', 'back', 'amount', 'sleep', 'short', 'window', 'sleep']	[(4, 1), (37, 1), (38, 1), (273, 1), (359, 2), (481, 1)]	7
368	[]	sleep	Ive been up for an hour but don't feel exhausted yet	['hour', 'feel', 'exhaust', 'yet']	[(104, 1), (361, 1), (362, 1), (553, 1)]	4
369	[]	sleep	From the past 3-4 years I have been suffering from sleep issues	['past', '_num_', '_num_', 'year', 'suffer', 'sleep', 'issue']	[(14, 1), (27, 2), (30, 1), (57, 1), (222, 1), (359, 1)]	7
370	[]	sleep	I just could not sleep, I just didn't feel tired	['sleep', 'feel', 'tire']	[(104, 1), (359, 1), (385, 1)]	3
371	[]	sleep	go to bed at a reasonable time	['go', 'bed', 'reasonable', 'time']	[(11, 1), (92, 1), (367, 1), (554, 1)]	4
372	[]	sleep	There were most nights where I would do 1 to 3 hours of sleep or no sleep at all	['much', 'night', 'would', '_num_', '_num_', 'hour', 'sleep', 'sleep']	[(22, 1), (27, 2), (34, 1), (119, 1), (359, 2), (362, 1)]	8
373	[]	sleep	It seems that I can fall asleep in less than 7 minutes	['seem', 'fall', 'asleep', 'little', '_num_', 'minute']	[(3, 1), (27, 1), (90, 1), (135, 1), (373, 1), (376, 1)]	6
374	[]	sleep	I feel tired already after 11 a.m	['feel', 'tire', 'already', '_num_']	[(27, 1), (104, 1), (385, 1), (461, 1)]	4
375	[{'start': 9, 'end': 15, 'value': 'z-pill', 'entity': 'drug'}]	treatment	As for a z-pill, I was prescribed them for severe insomnia	['z', 'pill', 'prescribe', 'severe', 'insomnia']	[(279, 1), (379, 1), (460, 1), (555, 1), (556, 1)]	5
376	[]	sleep	I have got sleep deprivation	['get', 'sleep', 'deprivation']	[(51, 1), (359, 1), (557, 1)]	3
377	[]	sleep	My own snore wakes me up	['snore', 'wake']	[(394, 1), (491, 1)]	2
378	[]	sleep	I have exercise-induced insomnia	['exercise', 'induce', 'insomnia']	[(372, 1), (379, 1), (558, 1)]	3
379	[]	sleep	It's been nine days now since I started having terrible insomnia	['nine', 'day', 'since', 'start', 'terrible', 'insomnia']	[(1, 1), (56, 1), (80, 1), (118, 1), (379, 1), (484, 1)]	6
380	[{'start': 46, 'end': 71, 'value': '2 and at the most 3 hours', 'entity': 'duration'}]	sleep	For about 6 or 7 years now, I have only slept 2 and at the most 3 hours before waking up	['_num_', '_num_', 'year', 'sleep', '_num_', 'much', '_num_', 'hour', 'wake']	[(14, 1), (27, 4), (34, 1), (359, 1), (362, 1), (394, 1)]	9
381	[]	sleep	I am good after 2 days/nights without sleep	['good', '_num_', 'day', 'night', 'without', 'sleep']	[(1, 1), (13, 1), (22, 1), (27, 1), (61, 1), (359, 1)]	6
382	[]	sleep	I've tried different sleep aids	['try', 'different', 'sleep', 'aid']	[(26, 1), (359, 1), (448, 1), (478, 1)]	4
383	[]	sleep	it felt like i slept worse	['feel', 'like', 'sleep', 'wrong']	[(104, 1), (359, 1), (364, 1), (559, 1)]	4
384	[]	sleep	mostly, i sleep around 20-24	['mostly', 'sleep', 'around', '_num_', '_num_']	[(27, 2), (111, 1), (359, 1), (560, 1)]	5
385	[]	sleep	I went for a power nap as I was so tired	['go', 'power', 'nap', 'tire']	[(11, 1), (385, 1), (514, 1), (561, 1)]	4
386	[]	sleep	Generally one day a week, I will just come home and crash and sleep	['generally', 'one', 'day', 'week', 'come', 'home', 'crash', 'sleep']	[(1, 1), (4, 1), (40, 1), (74, 1), (91, 1), (359, 1), (562, 1), (563, 1)]	8
387	[]	sleep	my sleep certainly is light	['sleep', 'certainly', 'light']	[(336, 1), (359, 1), (564, 1)]	3
388	[]	alcohol	I don't know if I'm an alcoholic	['know', 'alcoholic']	[(31, 1), (58, 1)]	2
389	[]	alcohol	I drink too much and wake up with a hangover	['drink', 'much', 'wake', 'hangover']	[(2, 1), (34, 1), (394, 1), (565, 1)]	4
390	[]	alcohol	I quit drinking alcohol for many reasons	['quit', 'drink', 'alcohol', 'many', 'reason']	[(2, 1), (16, 1), (276, 1), (316, 1), (566, 1)]	5
391	[]	alcohol	I’m afraid I’ll never be able to manage my drinking	['afraid', 'never', 'able', 'manage', 'drink']	[(2, 1), (138, 1), (406, 1), (441, 1), (567, 1)]	5
392	[{'start': 52, 'end': 58, 'value': 'whisky', 'entity': 'drug'}]	alcohol	I was fighting with my brother to give my bottle of whisky back	['fight', 'brother', 'give', 'bottle', 'whisky', 'back']	[(0, 1), (38, 1), (244, 1), (397, 1), (568, 1), (569, 1)]	6
393	[]	alcohol	I have drastically cut down on the number of days that I drink	['drastically', 'cut', 'numb', 'day', 'drink']	[(1, 1), (2, 1), (131, 1), (488, 1), (570, 1)]	5
394	[]	alcohol	I don’t know if moderation is right for me	['know', 'moderation', 'right']	[(31, 1), (431, 1), (571, 1)]	3
395	[]	alcohol	I do not want to drink anymore	['want', 'drink', 'anymore']	[(2, 1), (59, 1), (214, 1)]	3
396	[]	alcohol	I use sufficient amount of alcohol just before bed time	['use', 'sufficient', 'amount', 'alcohol', 'bed', 'time']	[(16, 1), (82, 1), (92, 1), (273, 1), (367, 1), (572, 1)]	6
397	[{'start': 35, 'end': 39, 'value': 'beer', 'entity': 'drug'}]	alcohol	I still drive to the store and buy beer and drink it	['still', 'drive', 'store', 'buy', 'beer', 'drink']	[(2, 1), (19, 1), (497, 1), (533, 1), (573, 1), (574, 1)]	6
398	[]	alcohol	I'm new to sobriety	['new', 'sobriety']	[(245, 1), (575, 1)]	2
399	[{'start': 13, 'end': 23, 'value': 'for a year', 'entity': 'duration'}]	alcohol	I went to AA for a year	['go', 'aa', 'year']	[(11, 1), (14, 1), (576, 1)]	3
400	[]	alcohol	I was also drinking during this time	['also', 'drink', 'time']	[(2, 1), (92, 1), (389, 1)]	3
401	[{'start': 19, 'end': 24, 'value': 'daily', 'entity': 'period'}]	alcohol	i started drinking daily when i was about 12-13 year's old	['start', 'drink', 'daily', '_num_', '_num_', 'year', 'old']	[(2, 1), (14, 1), (27, 2), (29, 1), (56, 1), (261, 1)]	7
402	[]	alcohol	I always drink heavily when coming down	['always', 'drink', 'heavily', 'come']	[(2, 1), (74, 1), (227, 1), (577, 1)]	4
403	[]	alcohol	I have a full day sober now	['full', 'day', 'sober']	[(1, 1), (117, 1), (578, 1)]	3
404	[]	alcohol	I have had enough I do not want to drink anymore	['enough', 'want', 'drink', 'anymore']	[(2, 1), (59, 1), (214, 1), (489, 1)]	4
405	[]	alcohol	i've learned to enjoy good moods without relying on alcohol	['learn', 'enjoy', 'good', 'mood', 'without', 'rely', 'alcohol']	[(13, 1), (16, 1), (61, 1), (102, 1), (152, 1), (579, 1), (580, 1)]	7
406	[]	alcohol	I do not know what is wrong with me and why I cannot stop drinking	['know', 'wrong', 'stop', 'drink']	[(2, 1), (25, 1), (31, 1), (559, 1)]	4
407	[{'start': 20, 'end': 29, 'value': 'right now', 'entity': 'time'}, {'start': 15, 'end': 19, 'value': 'beer', 'entity': 'drug'}]	alcohol	I'm drinking a beer right now	['drink', 'beer', 'right']	[(2, 1), (431, 1), (573, 1)]	3
408	[]	alcohol	I’m strong enough to resist the urge to binge	['strong', 'enough', 'resist', 'urge', 'binge']	[(125, 1), (230, 1), (489, 1), (581, 1), (582, 1)]	5
409	[]	alcohol	I drank to forget	['drink', 'forget']	[(2, 1), (583, 1)]	2
410	[{'start': 30, 'end': 50, 'value': 'for a few months now', 'entity': 'duration'}]	alcohol	I've been trying to get sober for a few months now	['try', 'get', 'sober', 'month']	[(12, 1), (26, 1), (51, 1), (578, 1)]	4
411	[{'start': 30, 'end': 38, 'value': 'everyday', 'entity': 'period'}]	alcohol	Three weeks later I had drank everyday	['three', 'week', 'late', 'drink', 'everyday']	[(2, 1), (4, 1), (330, 1), (370, 1), (584, 1)]	5
412	[]	alcohol	Alcohol never made me happy	['alcohol', 'never', 'make', 'happy']	[(16, 1), (196, 1), (406, 1), (585, 1)]	4
413	[{'start': 29, 'end': 35, 'value': 'drinks', 'entity': 'drug'}]	alcohol	I decided to go out for some drinks	['decide', 'go', 'drink']	[(2, 1), (11, 1), (586, 1)]	3
414	[{'start': 7, 'end': 11, 'value': 'beer', 'entity': 'drug'}]	alcohol	I love beer	['love', 'beer']	[(144, 1), (573, 1)]	2
415	[]	eatingDisorders	I should eat foods rich with Fiber, Calcium & Vitamin D	['eat', 'food', 'rich', 'fiber', 'calcium', 'vitamin']	[(96, 1), (97, 1), (587, 1), (588, 1), (589, 1), (590, 1)]	6
416	[{'start': 13, 'end': 23, 'value': '159 pounds', 'entity': 'infoPatient_weight'}]	infoPatient	I’ve been at 159 pounds the last few weeks	['_num_', 'pound', 'last', 'week']	[(4, 1), (27, 1), (101, 1), (219, 1)]	4
417	[]	eatingDisorders	I eat meat or fish	['eat', 'meat', 'fish']	[(96, 1), (591, 1), (592, 1)]	3
418	[{'start': 17, 'end': 31, 'value': '20 – 30 pounds', 'entity': 'infoPatient_weight'}]	eatingDisorders	I’m 28 and about 20 – 30 pounds overweight	['_num_', '_num_', '_num_', 'pound', 'overweight']	[(27, 3), (185, 1), (219, 1)]	5
419	[]	eatingDisorders	I have to eat healthy to keep my cholesterol down	['eat', 'healthy', 'keep', 'cholesterol']	[(96, 1), (169, 1), (593, 1), (594, 1)]	4
420	[]	eatingDisorders	After lunch I have about 2 servings of fruit	['lunch', '_num_', 'serving', 'fruit']	[(27, 1), (595, 1), (596, 1), (597, 1)]	4
421	[]	eatingDisorders	I have been eating Tortilla chips and Sugar cookies	['eat', 'tortilla', 'chip', 'sugar', 'cooky']	[(96, 1), (598, 1), (599, 1), (600, 1), (601, 1)]	5
422	[]	eatingDisorders	I struggle with weight issues as well	['struggle', 'weight', 'issue', 'good']	[(57, 1), (61, 1), (189, 1), (193, 1)]	4
423	[]	eatingDisorders	I even restricted my banana intake	['even', 'restrict', 'banana', 'intake']	[(76, 1), (202, 1), (602, 1), (603, 1)]	4
424	[]	eatingDisorders	i am not fat nor too skinny	['fat', 'skinny']	[(171, 1), (604, 1)]	2
425	[]	eatingDisorders	I became Vegetarians at Easter	['become', 'vegetarians', 'easter']	[(48, 1), (605, 1), (606, 1)]	3
426	[{'start': 12, 'end': 24, 'value': '10-15 pounds', 'entity': 'infoPatient_weight'}]	infoPatient	I have lost 10-15 pounds	['lose', '_num_', '_num_', 'pound']	[(27, 2), (219, 1), (483, 1)]	4
